ID,Requirement,Description
FR-024,"The system shall allow agency administrators to auto-enforce standard conventions for creating accounts and distribution lists.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-025,"The system shall allow data center administrators to control inbound and outbound message size limits for e-mail.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-026,"The system shall allow agency administrators to create generic email accounts/addresses accessible by multiple users.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-027,"The system shall allow users to customize their client application view, including adding fields, arranging fields, and ordering emails by fields.","E-mail, Calendar, Contacts (Basic Functional Requirement)"
FR-028,"The system shall allow users to archive data at the desktop.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-029,"The system shall provide a server-based archiving solution manageable by agency administrators.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-030,"The system shall allow agency administrators to archive data at various regularly defined intervals.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-031,"The system shall allow agency administrators to search the archive and perform bulk operations (forward, print, restore) on archived items.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-032,"The system shall allow agency administrators to filter the archive by sender, recipient, date, subject, content, attachments, and keyword.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-033,"The system shall provide long-term retention capabilities separate from the active e-mail system.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-034,"The system shall allow individual users to search their portion of the archive repository.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-035,"The system shall support meeting Federal regulations for retention (e.g., Sarbanes Oxley, GLB, HIPAA).","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-036,"The system shall allow agency administrators to satisfy legal requests for e-mail discovery and provide results in printed or digital format.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-037,"The system shall capture all e-mails sent and received within the organization.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-038,"The system shall allow agency administrators to select specific e-mail retention periods (e.g., 1, 3, or 5 years).","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-039,"The system shall allow agency administrators to search the e-mail header (Date, From, Subject, To, CC).","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-040,"The system shall allow agency administrators to search the e-mail body, including the header and all contained text.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-041,"The system shall allow agency administrators to perform a ""full text"" search, including the header, body, and attachments.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-042,"The system shall support litigation requests by producing responsive e-mail to a specified location for reading and redaction.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-043,"The system shall allow agency administrators to move older data to tiered (lower cost) storage while maintaining accessibility.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-044,"The system shall allow agency administrators to import data from sources like PST and NSF files into the archiving solution.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-045,"The system shall allow agency administrators to put discovery search results on legal hold to suspend deletion.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-046,"The system shall allow users (Legal, OIG, etc.) to review and mark discovery search results.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-047,"The system shall allow agency administrators to search using Boolean fields.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-048,"The system shall allow agency administrators to archive based on policy (e.g., e-mail address, OU, group, organization).","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-049,"The system shall allow users to delete, or flag for deletion by system administrators, e-mails that have met their retention period.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-050,"The system shall allow users to flag individual e-mails to prevent archiving.","Archiving, Retention, Discovery (Basic Functional Requirement)"
FR-051,"The system shall allow data center administrators to recover data at the file level.","Backup, Restore (Basic Functional Requirement)"
FR-052,"The system shall allow data center administrators to recover all messages.","Backup, Restore (Basic Functional Requirement)"
FR-053,"The system shall allow data center administrators to recover a specific e-mail message.","Backup, Restore (Basic Functional Requirement)"
FR-054,"The system shall allow data center administrators to recover data by mailbox.","Backup, Restore (Basic Functional Requirement)"
FR-055,"The system shall allow data center administrators to recover data by time stamp.","Backup, Restore (Basic Functional Requirement)"
FR-056,"The system shall maintain backup and restore event logs for data center administrators.","Backup, Restore (Basic Functional Requirement)"
FR-057,"The system shall allow data center administrators to restore previous backups without service interruption.","Backup, Restore (Basic Functional Requirement)"
FR-058,"The system shall provide pre-emptive e-mail virus protection (scanning prior to delivery at the mail server).","Security, Anti-Virus, Filtering (Basic Functional Requirement)"
FR-059,"The system shall provide pre-emptive e-mail content filtering.","Security, Anti-Virus, Filtering (Basic Functional Requirement)"
FR-060,"The system shall allow data center administrators to whitelist/blacklist senders by domain or IP address.","Security, Anti-Virus, Filtering (Basic Functional Requirement)"
FR-061,"The system shall allow data center administrators to block or allow e-mail based on multiple message attributes.","Security, Anti-Virus, Filtering (Basic Functional Requirement)"
FR-062,"The system shall integrate message hygiene (antispam/antivirus) with LDAP.","Security, Anti-Virus, Filtering (Basic Functional Requirement)"
FR-063,"The system shall provide message hygiene (antispam/antivirus) statistical reports.","Security, Anti-Virus, Filtering (Basic Functional Requirement)"
FR-064,"The system shall allow users to encrypt outbound e-mail.","Security, Anti-Virus, Filtering (Basic Functional Requirement)"
FR-065,"The system shall allow users to establish TLS encryption with other businesses or customers.","Security, Anti-Virus, Filtering (Basic Functional Requirement)"
FR-066,"The system shall protect the reputation of outbound mail gateways.","Security, Anti-Virus, Filtering (Basic Functional Requirement)"
FR-067,"The system shall protect internal e-mail customer identity.","Security, Anti-Virus, Filtering (Basic Functional Requirement)"
FR-068,"The system shall allow users to access e-mail, calendar, and address book, and send/receive via secure web or client access.","Remote Access, Mobile Messaging (Basic Functional Requirement)"
FR-069,"The system shall allow users to access e-mail using BlackBerry devices and services.","Remote Access, Mobile Messaging (Basic Functional Requirement)"
FR-070,"The system shall allow users to access e-mail with non-BlackBerry mobile data devices (e.g., iPhones, Treos, Pres).","Remote Access, Mobile Messaging (Basic Functional Requirement)"
FR-071,"The system shall allow agency administrators to support other mobile device protocols (e.g., ActiveSync).","Remote Access, Mobile Messaging (Basic Functional Requirement)"
FR-072,"The system shall allow agency administrators to Create, Update, and Delete BlackBerry accounts.","Remote Access, Mobile Messaging (Basic Functional Requirement)"
FR-073,"The system shall allow users to access their mailbox and components via a web browser over a secure (encrypted) connection.","Remote Access, Mobile Messaging (Basic Functional Requirement)"
FR-074,"The system shall allow users to send/receive e-mails within workflow applications.","Additional E-mail Services (Basic Functional Requirement)"
FR-075,"The system shall provide resource reservations integrated into e-mail.","Additional E-mail Services (Basic Functional Requirement)"
FR-076,"The system shall allow users to access an SMTP bridgehead for agency applications.","Additional E-mail Services (Basic Functional Requirement)"
FR-077,"The system shall allow users to integrate agency applications into the e-mail and mobile messaging environments.","Additional E-mail Services (Basic Functional Requirement)"
FR-078,"The system shall allow users to manually archive data to the server from their client.","Archiving, Retention, Discovery (Extended Functional Requirement)"
FR-079,"The system shall allow agency administrators to electronically redact information from archival storage.","Archiving, Retention, Discovery (Extended Functional Requirement)"
FR-080,"The system shall allow agency administrators to digitally certify search results.","Archiving, Retention, Discovery (Extended Functional Requirement)"
FR-081,"The system shall allow agency administrators to catalog responsive e-mail by case for electronic certification of complete production.","Archiving, Retention, Discovery (Extended Functional Requirement)"
FR-082,"The system shall allow agency administrators to maintain markings for privileged and non-responsive search results for due diligence.","Archiving, Retention, Discovery (Extended Functional Requirement)"
FR-083,"The system shall provide a full audit trail of discovery and review activities.","Archiving, Retention, Discovery (Extended Functional Requirement)"
FR-084,"The system shall allow data center administrators to perform real-time replication to an alternate site.","Disaster Recovery (Extended Functional Requirement)"
FR-085,"The system shall allow data center administrators to perform near-time replication to an alternate site.","Disaster Recovery (Extended Functional Requirement)"
FR-086,"The system shall allow data center administrators to fail-over the mail system and clients to an alternate site.","Disaster Recovery (Extended Functional Requirement)"
FR-087,"The system shall allow data center administrators to retrieve quarantined messages.","Security, Anti-Virus, Filtering (Extended Functional Requirement)"
FR-088,"The system shall allow data center administrators to add digital signatures to e-mail.","Security, Anti-Virus, Filtering (Extended Functional Requirement)"
FR-089,"The system shall allow users to access the e-mail archive remotely.","Remote Access, Mobile Messaging (Extended Functional Requirement)"
FR-090,"The system shall allow users to utilize wireless service with GIS integration.","Remote Access, Mobile Messaging (Extended Functional Requirement)"
FR-091,"The system shall provide fax service integrated into e-mail.","Additional E-mail Services (Extended Functional Requirement)"
FR-092,"The system shall allow users to integrate telephone messaging (VOIP) into e-mail and vice versa.","Additional E-mail Services (Extended Functional Requirement)"
FR-093,"The system shall provide a List Server option for internal and external publishing of information (e.g., report subscriptions).","Additional E-mail Services (Extended Functional Requirement)"
FR-094,"The system shall allow agency administrators to integrate directory services with complimentary external systems for a unified client experience.","Additional E-mail Services (Extended Functional Requirement)"
FR-095,"The system shall provide RSS Feeds managed by agency administrators.","Additional E-mail Services (Extended Functional Requirement)"
